utc,product_name,store_section,category,subcategory,labels,nutriscore,nova_group,allergens,diet_tags,image_url,price,x,y
39222000024,Grade a extra large,Eggs,Eggs,Eggs,,a,,,,https://images.openfoodfacts.org/images/products/003/922/200/0024/front_en.3.400.jpg,4.99,1,14
39222000031,Eggs,Eggs,Eggs,Chicken Eggs,,a,,,,https://images.openfoodfacts.org/images/products/003/922/200/0031/front_en.9.400.jpg,4.99,1,14
39222000086,Eggs,Eggs,Eggs,Chicken Eggs,,unknown,,,,https://images.openfoodfacts.org/images/products/003/922/200/0086/front_en.3.400.jpg,4.99,1,14
39278040104,Instant tea,Teas,Teas,Teas,"No gluten,Halal",c,4.0,,"en:palm-oil-free,en:non-vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/927/804/0104/front_en.3.400.jpg,5.49,5,31
39278132007,"Of Peace, Green Tea, 100% Organic",Teas,Teas,Teas,"Organic,USDA Organic",b,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/927/813/2007/front_en.3.400.jpg,5.49,5,31
39278182002,Organic white tea,Teas,Teas,White Teas,,b,1.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/927/818/2002/front_en.4.400.jpg,5.49,5,31
39278620306,Instant American Ginseng Tea,Teas,Teas,Teas,,unknown,4.0,,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/927/862/0306/front_en.5.400.jpg,5.49,5,31
39359000225,2 1/2 Dozen Eggs,Eggs,Eggs,Chicken Eggs,,a,,,,https://images.openfoodfacts.org/images/products/003/935/900/0225/front_en.3.400.jpg,4.99,1,14
39359001062,Grade a large eggs,Eggs,Eggs,Chicken Eggs,,unknown,,,,https://images.openfoodfacts.org/images/products/003/935/900/1062/front_en.3.400.jpg,4.99,1,14
39396005030,Italian Wedding Soup,Canned Food,Canned Foods,Canned Meals,,a,4.0,,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/939/600/5030/front_en.15.400.jpg,1.79,7,25
